x,y
0.0,0.0
79.577471546,0.008360612
159.154943092,0.012313202
238.732414638,0.016633009
318.309886184,0.021246094
397.88735773,0.026099202
477.464829276,0.031152396
557.042300822,0.03637477
636.619772368,0.041741786
716.197243914,0.047233539
795.774715459,0.052833587
875.352187005,0.058528126
954.929658551,0.064305411
1034.507130097,0.070155324
1114.084601643,0.07606906
1193.662073189,0.082038883
1273.239544735,0.08805794
1352.817016281,0.094120121
1432.394487827,0.100219941
1511.971959373,0.106352448
1591.549430919,0.112513154
1671.126902465,0.118697969
1750.704374011,0.124903156
1830.281845557,0.131125288
1909.859317103,0.137361212
1989.436788649,0.143608021
2069.014260195,0.149863027
2148.591731741,0.156123743
2228.169203287,0.162387862
2307.746674832,0.16865324
2387.324146378,0.174917883
2466.901617924,0.181179934
2546.47908947,0.187437662
2626.056561016,0.193689454
2705.634032562,0.199933802
2785.211504108,0.206169297
2864.788975654,0.212394624
2944.3664472,0.218608553
3023.943918746,0.224809935
3103.521390292,0.230997692
3183.098861838,0.237170819
3262.676333384,0.243328376
3342.25380493,0.24946948
3421.831276476,0.255593311
3501.408748022,0.261699098
3580.986219568,0.267786122
3660.563691114,0.273853712
3740.14116266,0.279901242
3819.718634205,0.285928125
3899.296105751,0.291933817
3978.873577297,0.29791781
4058.451048843,0.303879631
4138.028520389,0.309818841
4217.605991935,0.315735032
4297.183463481,0.321627826
4376.760935027,0.327496873
4456.338406573,0.333341849
4535.915878119,0.339162456
4615.493349665,0.34495842
4695.070821211,0.350729489
4774.648292757,0.356475431
4854.225764303,0.362196038
4933.803235849,0.367891116
5013.380707395,0.373560495
5092.958178941,0.379204017
5172.535650487,0.384821544
5252.113122033,0.390412951
5331.690593578,0.395978128
5411.268065124,0.401516982
5490.84553667,0.407029429
5570.423008216,0.412515399
5650.000479762,0.417974835
5729.577951308,0.42340769
5809.155422854,0.428813929
5888.7328944,0.434193525
5968.310365946,0.439546462
6047.887837492,0.444872733
6127.465309038,0.450172339
6207.042780584,0.45544529
6286.62025213,0.460691604
6366.197723676,0.465911304
6445.775195222,0.471104423
6525.352666768,0.476270999
6604.930138314,0.481411076
6684.50760986,0.486524704
6764.085081406,0.49161194
6843.662552952,0.496672844
6923.240024497,0.501707482
7002.817496043,0.506715925
7082.394967589,0.511698249
7161.972439135,0.516654533
7241.549910681,0.521584859
7321.127382227,0.526489316
7400.704853773,0.531367994
7480.282325319,0.536220986
7559.859796865,0.54104839
7639.437268411,0.545850305
7719.014739957,0.550626835
7798.592211503,0.555378084
7878.169683049,0.56010416
7957.747154595,0.564805172
8037.324626141,0.569481234
8116.902097687,0.574132459
8196.479569233,0.578758962
8276.057040779,0.583360861
8355.634512325,0.587938276
8435.21198387,0.592491326
8514.789455416,0.597020133
8594.366926962,0.601524821
8673.944398508,0.606005514
8753.521870054,0.610462337
8833.0993416,0.614895417
8912.676813146,0.61930488
8992.254284692,0.623690855
9071.831756238,0.62805347
9151.409227784,0.632392854
9230.98669933,0.636709138
9310.564170876,0.64100245
9390.141642422,0.645272924
9469.719113968,0.649520688
9549.296585514,0.653745875
9628.87405706,0.657948616
9708.451528606,0.662129043
9788.029000152,0.666287288
9867.606471698,0.670423483
9947.183943243,0.67453776
10026.761414789,0.678630251
10106.338886335,0.682701089
10185.916357881,0.686750404
10265.493829427,0.690778329
10345.071300973,0.694784995
10424.648772519,0.698770534
10504.226244065,0.702735077
10583.803715611,0.706678755
10663.381187157,0.710601699
10742.958658703,0.714504039
