x,y
0.0,0.0
0.001,22.9027373
0.003,261.904122576
0.005,813.210282311
0.007,1715.200301672
0.009,2995.003109218
0.011,4674.082431959
0.013,6770.390945593
0.015,9299.461574016
0.017,12275.04517954
0.019,15709.518663893
0.021,19614.163327866
0.023,23999.363954531
0.025,28874.756523766
0.027,34249.341079519
0.029,40131.57006891
0.031,46529.418884079
0.033,53450.44315755
0.035,60901.825982272
0.037,68890.417323875
0.039,77422.767283156
0.041,86505.154444958
0.043,96143.610251102
0.045,106343.940119482
0.047,117111.741873161
0.049,128452.421925086
0.051,140371.209574583
0.053,152873.169703195
0.055,165963.214104149
0.057,179646.111637996
0.059,193926.49737388
0.061,208808.880849433
0.063,224297.653560995
0.065,240397.095778523
0.067,257111.382765378
0.069,274444.590471515
0.071,292400.700758901
0.073,310983.606209935
0.075,330197.114562843
0.077,350044.952812334
0.079,370530.771008965
0.081,391658.145786531
0.083,413430.583643294
0.085,435851.523999837
0.087,458924.342053713
0.089,482652.351448846
0.091,507038.806775626
0.093,532086.905915999
0.095,557799.79224631
0.097,584180.556709405
0.099,611232.239766299
0.101,638957.833236746
0.103,667360.282037127
0.105,696442.48582331
0.107,726207.30054538
0.109,756657.539920579
0.111,787795.976830168
0.113,819625.344645477
0.115,852148.338487923
0.117,885367.6164274
0.119,919285.800623049
0.121,953905.478410135
0.123,989229.203336415
0.125,1025259.496151148
0.127,1061998.84574963
0.129,1099449.710075944
0.131,1137614.516986386
0.133,1176495.665075869
0.135,1216095.524469425
0.137,1256416.437580776
0.139,1297460.71983983
0.141,1339230.660390769
0.143,1381728.522762362
0.145,1424956.545511962
0.147,1468916.94284457
0.149,1513611.905208283
0.151,1559043.599867299
0.153,1605214.171453645
0.155,1652125.742498682
0.157,1699780.413945355
0.159,1748180.265642167
0.161,1797327.356819716
0.163,1847223.726550638
0.165,1897871.394193741
0.167,1949272.359823024
0.169,2001428.60464232
0.171,2054342.091386175
0.173,2108014.764707585
0.175,2162448.551553177
0.177,2217645.36152638
0.179,2273607.087239092
0.181,2330335.604652337
0.183,2387832.77340639
0.185,2446100.437140791
0.187,2505140.423804658
0.189,2564954.545957719
0.191,2625544.601062427
0.193,2686912.371767489
0.195,2749059.626183192
0.197,2811988.118148804
0.199,2875699.587492391
0.201,2940195.760283308
0.203,3005478.349077674
0.205,3071549.053157059
0.207,3138409.558760671
0.209,3206061.539311251
0.211,3274506.655634931
0.213,3343746.556175247
0.215,3413782.877201536
0.217,3484617.243011911
0.219,3556251.266130992
0.221,3628686.547502602
0.223,3701924.676677562
0.225,3775967.231996794
0.227,3850815.780769861
0.229,3926471.879449104
0.231,4002937.073799537
0.233,4080212.899064615
0.235,4158300.880128037
0.237,4237202.531671669
0.239,4316919.35832979
0.241,4397452.854839663
0.243,4478804.506188686
0.245,4560975.787758081
0.247,4643968.165463359
0.249,4727783.09589159
0.251,4812422.026435575
0.253,4897886.39542504
0.255,4984177.632254945
0.257,5071297.157510945
0.259,5159246.383092157
0.261,5248026.712331263
0.263,5337639.540112031
0.265,5428086.252984349
0.267,5519368.229276835
0.269,5611486.839207089
0.271,5704443.444989628
0.273,5798239.400941642
0.275,5892876.053586542
0.277,5988354.741755431
0.279,6084676.796686515
0.281,6181843.542122525
0.283,6279856.294406192
0.285,6378716.362573863
0.287,6478425.048447259
0.289,6578983.646723442
0.291,6680393.445063075
0.293,6782655.724176924
0.295,6885771.757910809
0.297,6989742.813328843
0.299,7094570.15079516
0.301,7200255.024054118
0.303,7306798.680308999
0.305,7414202.360299247
0.307,7522467.298376329
0.309,7631594.722578155
0.311,7741585.854702235
0.313,7852441.910377438
0.315,7964164.099134525
0.317,8076753.624475424
0.319,8190211.683941238
0.321,8304539.46917915
0.323,8419738.166008074
0.325,8535808.954483228
0.327,8652753.00895957
0.329,8770571.498154175
0.331,8889265.585207513
0.333,9008836.427743748
0.335,9129285.17792996
0.337,9250612.982534451
0.339,9372820.982984027
0.341,9495910.315420363
0.343,9619882.110755447
0.345,9744737.494726105
0.347,9870477.587947667
0.349,9997103.505966742
0.351,10124616.35931317
0.353,10253017.25355113
0.355,10382307.289329471
0.357,10512487.56243122
0.359,10643559.16382231
0.361,10775523.17969958
0.363,10908380.69153804
0.365,11042132.77613732
0.367,11176780.50566758
0.369,11312324.94771451
0.371,11448767.165323831
0.373,11586108.21704504
0.375,11724349.15697448
0.377,11863491.034797829
0.379,12003534.895831939
0.381,12144481.781066021
0.383,12286332.7272023
0.385,12429088.76669598
0.387,12572750.92779476
0.389,12717320.23457763
0.391,12862797.70699323
0.393,13009184.36089761
0.395,13156481.20809143
0.397,13304689.256356752
0.399,13453809.50949309
0.401,13603842.96735321
0.403,13754790.62587828
0.405,13906653.47713256
0.407,14059432.509337598
0.409,14213128.70690605
0.411,14367743.0504749
0.413,14523276.51693835
0.415,14679730.07948016
0.417,14837104.70760567
0.419,14995401.3671733
0.421,15154621.02042564
0.423,15314764.62602019
0.425,15475833.13905965
0.427,15637827.511121761
0.429,15800748.69028889
0.431,15964597.62117709
0.433,16129375.2449649
0.435,16295082.49942166
0.437,16461720.318935549
0.439,16629289.634541258
0.441,16797791.37394727
0.443,16967226.4615628
0.445,17137595.81852446
0.447,17308900.362722483
0.449,17481141.00882673
0.451,17654318.66831227
0.453,17828434.24948477
0.455,18003488.6575054
0.457,18179482.79441562
0.459,18356417.55916154
0.461,18534293.84761797
0.463,18713112.55261234
0.465,18892874.5639481
0.467,19073580.76842803
0.469,19255232.0498772
0.471,19437829.28916562
0.473,19621373.36423067
0.475,19805865.15009929
0.477,19991305.51890984
0.479,20177695.339933738
0.481,20365035.47959683
0.483,20553326.80150061
0.485,20742570.16644301
0.487,20932766.4324391
0.489,21123916.45474153
0.491,21316021.08586066
0.493,21509081.175584573
0.495,21703097.57099874
0.497,21898071.11650559
0.499,22094002.65384376
0.501,22290893.02210715
0.503,22488743.05776387
0.505,22687553.59467478
0.507,22887325.464111988
0.509,23088059.49477711
0.511,23289756.512819268
0.513,23492417.341853
0.515,23696042.8029758
0.517,23900633.714785703
0.519,24106190.89339849
0.521,24312715.15246477
0.523,24520207.3031869
0.525,24728668.15433572
0.527,24938098.51226707
0.529,25148499.18093818
0.531,25359870.961923867
0.533,25572214.65443253
0.535,25785531.05532206
0.537,25999820.959115528
0.539,26215085.15801666
0.541,26431324.441925257
0.543,26648539.59845241
0.545,26866731.41293554
0.547,27085900.668453302
0.549,27306048.145840332
0.551,27527174.62370186
0.553,27749280.87842814
0.555,27972367.68420877
0.557,28196435.81304689
0.559,28421486.03477312
0.561,28647519.11705952
0.563,28874535.8254333
0.565,29102536.92329043
0.567,29331523.171909098
0.569,29561495.3304631
0.571,29792454.15603498
0.573,30024400.40362917
0.575,30257334.8261849
0.577,30491258.17458908
0.579,30726171.19768893
0.581,30962074.64230463
0.583,31198969.25324172
0.585,31436855.77330353
0.587,31675734.94330328
0.589,31915607.50207633
0.591,32156474.186492
0.593,32398335.73146565
0.595,32641192.86997029
0.597,32885046.333048332
0.599,33129896.849823017
0.601,33375745.147510067
0.603,33622591.95142883
0.605,33870437.98501354
0.607,34119283.96982455
0.609,34369130.625559255
0.611,34619978.67006308
0.613,34871828.819340214
0.615,35124681.78756444
0.617,35378538.28708972
0.619,35633399.02846071
0.621,35889264.720423244
0.623,36146136.0699346
0.625,36404013.782173865
0.627,36662898.56055197
0.629,36922791.10672186
0.631,37183692.120588444
0.633,37445602.30031842
0.635,37708522.34235021
0.637,37972452.941403575
0.639,38237394.79048928
0.641,38503348.58091867
0.643,38770315.002313085
0.645,39038294.74261331
0.647,39307288.488088824
0.649,39577296.923347
0.651,39848320.73134237
0.653,40120360.59338557
0.655,40393417.189152375
0.657,40667491.19669262
0.659,40942583.29243901
0.661,41218694.15121592
0.663,41495824.44624805
0.665,41773974.849169016
0.667,42053146.03003001
0.669,42333338.657308094
0.671,42614553.39791473
0.673,42896790.917204134
0.675,43180051.87898138
0.677,43464336.94551078
0.679,43749646.777523875
0.681,44035982.034227565
0.683,44323343.37331205
0.685,44611731.45095885
0.687,44901146.92184854
0.689,45191590.43916868
0.691,45483062.65462146
0.693,45775564.2184314
0.695,46069095.77935297
0.697,46363657.98467818
0.699,46659251.48024396
0.701,46955876.91043972
0.703,47253534.918214664
0.705,47552226.14508508
0.707,47851951.23114162
0.709,48152710.81505652
0.711,48454505.53409072
0.713,48757336.024100974
0.715,49061202.91954679
0.717,49366106.85349758
0.719,49672048.4576394
0.721,49979028.36228193
0.723,50287047.19636526
0.725,50596105.58746663
0.727,50906204.161807165
0.729,51217343.54425861
0.731,51529524.358349696
0.733,51842747.226273
0.735,52157012.76889128
0.737,52472321.60574392
0.739,52788674.355053455
0.741,53106071.63373182
0.743,53424514.05738674
0.745,53744002.24032795
0.747,54064536.79557339
0.749,54386118.33485551
0.751,54708747.468627244
0.753,55032424.806068145
0.755,55357150.95509046
0.757,55682926.5223451
0.759,56009752.113227546
0.761,56337628.3318838
0.763,56666555.78121627
0.765,56996535.0628895
0.767,57327566.77733601
0.769,57659651.52376207
0.771,57992789.90015326
0.773,58326982.50328027
0.775,58662229.9287044
0.777,58998532.77078319
0.779,59335891.62267595
0.781,59674307.076349206
0.783,60013779.72258219
0.785,60354310.15097225
0.787,60695898.94994021
0.789,61038546.706735685
0.791,61382254.00744247
0.793,61727021.43698368
0.795,62072849.57912708
0.797,62419739.01649019
0.799,62767690.330545485
0.801,63116704.10162549
0.803,63466780.90892788
0.805,63817921.33052051
0.807,64170125.94334641
0.809,64523395.3232288
0.811,64877730.044876
0.813,65233130.68188632
0.815,65589597.80675301
0.817,65947131.99086898
0.819,66305733.804531746
0.821,66665403.81694806
0.823,67026142.5962388
0.825,67387950.70944354
0.827,67750828.72252531
0.829,68114777.20037526
0.831,68479796.70681718
0.833,68845887.8046122
0.835,69213051.05546325
0.837,69581287.02001964
0.839,69950596.25788149
0.841,70320979.32760432
0.843,70692436.78670335
0.845,71064969.19165792
0.847,71438577.09791595
0.849,71813261.05989824
0.851,72189021.63100274
0.853,72565859.36360893
0.855,72943774.809082
0.857,73322768.51777716
0.859,73702841.03904375
0.861,74083992.92122953
0.863,74466224.71168473
0.865,74849536.95676628
0.867,75233930.20184177
0.869,75619404.99129367
0.871,76005961.86852328
0.873,76393601.37595482
0.875,76782324.05503933
0.877,77172130.44625868
0.879,77563021.08912961
0.881,77954996.5222075
0.883,78348057.28309034
0.885,78742203.9084226
0.887,79137436.93389909
0.889,79533756.8942687
0.891,79931164.3233383
0.893,80329659.75397646
0.895,80729243.71811719
0.897,81129916.74676372
0.899,81531679.36999209
0.901,81934532.11695498
0.903,82338475.51588528
0.905,82743510.09409973
0.907,83149636.37800257
0.909,83556854.89308906
0.911,83965166.1639491
0.913,84374570.7142708
0.915,84785069.06684396
0.917,85196661.74356358
0.919,85609349.26543333
0.921,86023132.15256909
0.923,86438010.92420226
0.925,86853986.09868336
0.927,87271058.19348516
0.929,87689227.72520635
0.931,88108495.20957471
0.933,88528861.16145055
0.935,88950326.09482992
0.937,89372890.522848
0.939,89796554.95778237
0.941,90221319.9110562
0.943,90647185.89324163
0.945,91074153.41406277
0.947,91502222.98239914
0.949,91931395.10628872
0.951,92361670.2929311
0.953,92793049.04869074
0.955,93225531.87909995
0.957,93659119.28886206
0.959,94093811.78185466
0.961,94529609.86113237
0.963,94966514.02893017
0.965,95404524.78666626
0.967,95843642.63494521
0.969,96283868.07356088
0.971,96725201.6014994
0.973,97167643.7169422
0.975,97611194.91726895
0.977,98055855.6990604
